animeTitle	b'Onihei'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	12443
animeRank	
animePopularity	
animeDescription	"b'The blade arts of the ""Devil"" tasked with striking down evils threatening a peaceful Edo! Heizou Hasegawa, upholding the role of chief officer protecting against crime and arson! In 1783, the heart of the Tenmei era, Hasegawa held the office of chief director of the department charged with sustaining safety in the region, suppressing the most vile of thieves and criminals, an individual largely feared, renowned as Devil Heizou...\n\n(Source: MAL News)'"
animeRelated	[b'Onihei Hankachou', b'Onihei: Sono Otoko, Heizou Hasegawa']
animeCharacters	[b'Hasegawa, Heizou', b'Kimura, Chuugo', b'Omasa', b'Ojun', b'Ofusa', b'Hisae', b'Hattori, Suminosuke', b'Takasugi, Ginpei', b'Matsuoka, Juubei', b'Riemon']
animeVoices	[b'\nHoriuchi, Kenyuu\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nPark, Romi\nJapanese\n', b'\nSenbongi, Sayaka\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nIwao, Junko\nJapanese\n', b'\nTakaguchi, Kousuke\nJapanese\n', b'\nFujiwara, Takahiro\nJapanese\n', b'\nTerasoma, Masaki\nJapanese\n', b'\nNishimura, Tomomichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaruyama, Masao\n\nProducer\n\n', b'\nMiya, Shigeyuki\n\nDirector, Character Design\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nMinakami, Seishi\n\nScript\n\n']
