animeTitle	Tokimeki Tonight
animeType	TV
animeNumEpisode	34
releaseDate	1982-10-07 00:00:00
endDate	1983-09-22 00:00:00
animeNumMembers	7793
animeScore	7.16
animeUsers	1733
animeRank	3093
animePopularity	5859
animeDescription	"The main character, Ranze, is a junior high girl with troubles: her father is a vampire and her mother is a werewolf. Ranze has yet to manifest her supernatural powers, and her parents are beginning to get worried she might be normal. So begins the fantasy romantic comedy story.

(Source: ANN)"
animeRelated	['Tokimeki Tonight', 'Tokimeki Tonight Recaps']
animeCharacters	['Etou, Ranze', 'Kamiya, Yoko', 'Makabe, Shun', 'Etou, Mohri', 'Etou, Shira', 'Santa Claus ', 'Frankenstein', 'Cheshire Cat', 'Takamiyama, Emiko', 'Blue bird']
animeVoices	['Hara, Eriko', 'Tominaga, Miina', 'Mizushima, Yuu', 'Yasuhara, Yoshito', 'Ohara, Noriko', 'Miyauchi, Kouhei', 'Tatekabe, Kazuya', 'Masuoka, Hiroshi', 'Tsukase, Noriko']
animeStaff	[['Sasagawa, Hiroshi', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Sugii, Gisaburou', 'Episode Director, Storyboard, Key Animation'], ['Furuta, Yoshiaki', 'Theme Song Lyrics, Theme Song Composition']]
