animeTitle	Tomodachi 8-nin
animeType	TV
animeNumEpisode	398
releaseDate	2011-03-28 00:00:00
endDate	2019-01-05 00:00:00
animeNumMembers	290
animeScore	
animeUsers	
animeRank	13890
animePopularity	14732
animeDescription	"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way.

(Source: Official site)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
