animeTitle	Sekaiichi Hatsukoi: Propose-hen
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.43
animeUsers	5106
animeRank	
animePopularity	4018
animeDescription	"Even at their colleagues' wedding, the sparkling members of Marukawa Publishing's Emerald Department stand out. Having been invited to assist in providing entertainment for the guests, Masamune Takano, Ritsu Onodera, Yoshiyuki Hatori, Shouta Kisa, Kanade Mino, as well as Takafumi Yokozawa enjoy the festivities as much as their work allows.

As love blossoms between two individuals, marriage marks a momentous occasion fit for self-reflection. Whether they like it or not, the men of Marukawa need to consider where their own relationships are headed.

[Written by MAL Rewrite]"
animeRelated	['Sekaiichi Hatsukoi: Onodera Ritsu no Baai', 'Sekaiichi Hatsukoi 2']
animeCharacters	['Takano, Masamune', 'Onodera, Ritsu', 'Kisa, Shouta', 'Yukina, Kou', 'Hatori, Yoshiyuki', 'Yokozawa, Takafumi', 'Yoshino, Chiaki', 'Kirishima, Zen', 'Yanase, Yuu']
animeVoices	[]
animeStaff	[['Kita, Shuhei', 'Theme Song Performance'], ['Nakamura, Shungiku', 'Original Creator'], ['Kondou, Shinya', 'Director of Photography']]
