animeTitle	Jib
animeType	Movie
animeNumEpisode	1
releaseDate	2011-03-17 00:00:00
endDate	
animeNumMembers	558
animeScore	6.43
animeUsers	152
animeRank	6533
animePopularity	12651
animeDescription	The House, which echoes of the wildly surreal worlds seen in Spirited Away, focuses on Ga-young, a young woman who moves to an old town where she meets Zipsin, the spirit of a house that is soon to be demolished. Whisked away on an enchanted adventure, Ga-young and Zipsin seek out a new spirit who may be able to help them—and together, they hatch a scheme to save the house from those who don't believe in its magic.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
