animeTitle	Silent Möbius
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	3962
animeRank	
animePopularity	4849
animeDescription	"The year is 2023 and Alien Beings known as ""Lucifer Hawks"" have begun invading earth from another dimension. All that stands between them and the enslavement of the human race is the Attacked Mystification Police Department - a special division of the Tokyo Police staffed by women with amazing paranormal abilities.

(Source: ANN)"
animeRelated	['Silent Möbius', 'Silent Möbius: The Motion Picture', 'Silent Möbius 2']
animeCharacters	['Liqueur, Katsumi', 'Phenil, Kiddy', 'Cheyenne, Rally', 'Isozaki, Mana', 'Yamigumo, Nami', 'Mavelick, Lebia', 'Yuki, Saiko', 'Flex', 'Cheng, Lum', 'Cheyenne, Rosa']
animeVoices	['Matsui, Naoko', 'Tsuru, Hiromi', 'Fujita, Toshiko', 'Koyama, Mami', 'Honda, Chieko', 'Nagahori, Miho', 'Okamoto, Maya', 'Yamaguchi, Kappei', 'Hiramatsu, Akiko', 'Takashima, Gara']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Tonokatsu, Hideki', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Takeuchi, Nobuyuki', 'Episode Director, Storyboard, Key Animation, Animation Director']]
