animeTitle	Wu Dong Qian Kun
animeType	ONA
animeNumEpisode	12
releaseDate	2019-01-27 00:00:00
endDate	2019-04-07 00:00:00
animeNumMembers	
animeScore	7.41
animeUsers	1834
animeRank	
animePopularity	7182
animeDescription	"The Great Yan Empire exists in a world where respect can only be earned through strength. Within this Great Yan Empire, the four great clans have always stood above the rest. Among them, a particular incident in the Lin Clan resulted in the banishment of a certain individual who went on to start his own family, in hopes of one day being recognized again by the Lin Clan, and rejoining them…

Hailing from a banished family of the Great Lin Clan, when Lin Dong was very young, he watched, powerless, as his talented father was easily crushed and crippled by the overwhelming genius of the great Lin Clan, Lin Langtian.

With a despairing father, a heartbroken grandfather, and a suffering family, ever since that fateful day, Lin Dong has been driven by a deep purpose; to take revenge on the man who had taken everything and more from his family.

Armed with nothing but willpower and determination, join Lin Dong as he unknowingly discovers a destiny greater than he could ever hope to imagine when he stumbles upon a mysterious stone talisman…

(Source: Novel Updates)"
animeRelated	['Wu Dong Qian Kun', 'Wu Dong Qian Kun 2nd Season']
animeCharacters	['Lin, Dong']
animeVoices	[]
animeStaff	[]
