animeTitle	b'Koala Boy Kokki'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	253
animeRank	
animePopularity	
animeDescription	b'A little koala and his friends have adventures together and learn lessons about the world while having a lot of fun.'
animeRelated	[]
animeCharacters	[b'Kokki']
animeVoices	[b'\nFujita, Toshiko\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nIshiguro, Megumu\n\nDirector\n\n', b'\nYamada, Katsuhisa\n\nStoryboard\n\n', b""\nD'Avena, Cristina\n\nTheme Song Performance\n\n"", b'\nWatanabe, Takashi\n\nAnimation Director\n\n']"
