animeTitle	Golden Kamuy 3rd Season
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.45
animeUsers	48048
animeRank	
animePopularity	1513
animeDescription	"Third season of Golden Kamuy. Will Asirpa and Sugimoto ever be reunited? A new battle for survival begins in the frozen land of Karafuto! After the battle at the prison, Sugimoto and Asirpa were separated. Kiroranke and Ogata take Asirpa north to Karafuto, along with Shiraishi, the ""Escape King,"" to follow a clue about her father. With Noppera-bo, the man who stole the Ainu gold, dead, only his daughter Asirpa can solve the mystery. Kiroranke's goal is to take her to meet his former comrades, Far-East Russian partisans. Meanwhile, Sugimoto teams up with Lt. Tsurumi and the rest of the 7th. He and Tanigaki volunteer to go ahead to search for her. They head to Karafuto, along with Tsukishima and Koito. What awaits them in the frozen lands of the North? A new battle for survival!

(Source: Crunchyroll)"
animeRelated	['Golden Kamuy', 'Golden Kamuy 2nd Season']
animeCharacters	['Sugimoto, Saichi', 'Asirpa', 'Shiraishi, Yoshitake', 'Ogata, Hyakunosuke', 'Tsurumi, Tokushirou', 'Tanigaki, Genjirou', 'Koito, Otonoshin', 'Hijikata, Toshizou', 'Tsukishima, Hajime', 'Ushiyama, Tatsuma']
animeVoices	['Kobayashi, Chikahiro', 'Shiraishi, Haruka', 'Itou, Kentarou', 'Tsuda, Kenjirou', 'Ootsuka, Houchuu', 'Hosoya, Yoshimasa', 'Konishi, Katsuyuki', 'Nakata, Jouji', 'Takemoto, Eiji', 'Nomura, Kenji']
animeStaff	[['Nanba, Hitoshi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['THE SIXTH LIE', 'Theme Song Performance'], ['Suehiro, Kenichiro', 'Music']]
