animeTitle	b'Hakuouki: Otogisoushi'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	1763
animeRank	
animePopularity	
animeDescription	"b'Features the characters from the games in chibi form with a completely new story with the theme: ""A normal everyday that might have existed.""'"
animeRelated	[b'Hakuouki', b'Hakuouki: Otogisoushi Special']
animeCharacters	[b'Saitou, Hajime', b'Okita, Souji', b'Hijikata, Toshizou', b'Kazama, Chikage', b'Harada, Sanosuke', b'Toudou, Heisuke', b'Yukimura, Chizuru', b'Nagakura, Shinpachi', b'Sannan, Keisuke', b'Yamazaki, Susumu']
animeVoices	[b'\nToriumi, Kousuke\nJapanese\n', b'\nMorikubo, Shoutarou\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nYusa, Kouji\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nTsuboi, Tomohiro\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nSuzuki, Takayuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOda, Motohiro\n\nProducer\n\n', b'\nShinohara, Parako\n\nDirector\n\n', b'\nRenka\n\nTheme Song Lyrics, Theme Song Performance\n\n']
