animeTitle	BlazBlue: Alter Memory
animeType	TV
animeNumEpisode	12
releaseDate	2013-10-09 00:00:00
endDate	2013-12-25 00:00:00
animeNumMembers	
animeScore	6.11
animeUsers	32970
animeRank	
animePopularity	1853
animeDescription	"The story is set in December of 2199, when the streets are full of anticipation for the end of the year and the start of the new one. Amid the celebrations, word spreads that Ragna the Bloodedge, an SS-class rebel with the highest ever bounty on his head, has appeared in the 13th Hierarchical City of Kagutsuchi. The apparent aim of Ragna or the ""Grim Reaper"" is the destruction of the system controlling the world. To collect the bounty, a motley array of unrivaled fighters converge on Kagutsuchi.

(Source: ANN)"
animeRelated	['BlazBlue: Alter Memory Specials']
animeCharacters	['Hazama', 'the Bloodedge, Ragna', 'Vermillion, Noel', 'Alucard, Rachel', 'Kisaragi, Jin', 'Taokaka', 'Nu-13', 'Hakumen', 'Kokonoe', 'Yayoi, Tsubaki']
animeVoices	['Nakamura, Yuuichi', 'Sugita, Tomokazu', 'Kondou, Kanako', 'Ueda, Kana', 'Kakihara, Tetsuya', 'Saitou, Chiwa', 'Matsuura, Chie', 'Imai, Asami']
animeStaff	[['Tachibana, Hideki', 'Director'], ['Tsuchiya, Masaki', 'Sound Director'], ['Mieno, Hitomi', 'Script, Series Composition'], ['Takahashi, Tatsuya', 'Script']]
