animeTitle	God Eater Reso Nantoka Gekijou: Episode EX
animeType	ONA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.54
animeUsers	411
animeRank	
animePopularity	9649
animeDescription	Short anime inspired by the iOS and Android mobile game God Eater Resonant Ops.
animeRelated	['God Eater Reso Nantoka Gekijou']
animeCharacters	['Illinichina Amiella, Alisa', 'der Vogelweid, Erina', 'Vita Lin Toe, Tiona', 'Kisaragi, Sera', 'Kamiki, Rio', 'Kamiki, Leo', 'Tachibana, Sakuya', 'Daiba, Canon', 'Komatsuna, Asuna', 'Alençon, Ciel']
animeVoices	['Sakamoto, Maaya', 'Asumi, Kana', 'Uchida, Maaya', 'Kobayashi, Yuu', 'Oozora, Naomi', 'Shimono, Hiro', 'Ohara, Sayaka', 'Hirohashi, Ryou']
animeStaff	[['Shinohara, Parako', 'Director, Series Composition'], ['Nagasaki, Yukio', 'Sound Director'], ['Asari, Fujiaki', 'Episode Director'], ['Itowokashi', 'Theme Song Performance']]
