animeTitle	Angelium
animeType	OVA
animeNumEpisode	2
releaseDate	2004-09-25 00:00:00
endDate	2004-11-25 00:00:00
animeNumMembers	4842
animeScore	5.88
animeUsers	2123
animeRank	
animePopularity	7082
animeDescription	"Zeus was an omniscient and omnipotent god who rules Heaven where gods lived. However, he was a pervert who had a wish to flirt with young angels not being known by his wife, Hera. 

He came up with an idea to make use of the promotion examination took place every three years. Three angels, Yu, Miki, and Chado-ko came down to the earth to take the exams. When they began to work as part-time jobs at the flower shop, the severe trials occurred one after another. 

Zeus was taking care of them secretly. However it’s not from his kindness, but from his pervert desire. But, his activities were known in the lower world... 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Amamiya, Yu', 'Yunaki, Miki', 'Asagiri, Cyadoko', 'Angels, Chief of', 'Oshime', 'Miyashiro', 'Minori', 'Hera', 'Masuda', 'Zeus']
animeVoices	['Kajita, Yuuki', 'Uchikawa, Ai', 'Sato, Mikako', 'Yajima, Akiko', 'Kishio, Daisuke', 'Hitomi']
animeStaff	[['Kume, Issei', 'Director, Storyboard'], ['Aisaka, Naoki', 'Character Design'], ['Okazaki, Hideo', 'Director of Photography']]
