animeTitle	B Rappers Street
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12660
animeDescription	"A multimedia project collaboration between Shogakukan, Sony Interactive Entertainment, Sony Music Entertainment, and Sony Music Communications, and features a theme of rap and hip-hop.

The story follows Yo!Hey, a boy who raps to the beat of his farts.

The anime will air withing the Ota-Suta (""Good Morning Star"") children's television program and the manga counterpart will be published in March.

(Source: ANN)"
animeRelated	['B Rappers Street']
animeCharacters	['Yo!Hey', 'DJ Ken', 'Onepac', 'Dakemi-chan', 'Big Boo']
animeVoices	['Kimura, Subaru', 'Hondo, Kaede', 'Hamano, Daiki', 'Nakashima, Takuya']
animeStaff	[['Sawada, Yuutarou', 'Director, Screenplay'], ['Shinkai, Taketo', 'Director, Screenplay'], ['Saitou, Ryouji', 'Theme Song Arrangement, Theme Song Composition, Music'], ['Suzuki, Haruka', 'Character Design']]
