animeTitle	Allison to Lillia
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.35
animeUsers	13133
animeRank	
animePopularity	2816
animeDescription	"Set in a continent divided into two commonwealths that have been engaged in war for hundreds of years, Allison and Will go on a mission to search ""the treasure that will put an end to the war"". Their hope is inherited to their daughter Lillia, who strives to thaw the torn nations into a united country. This anime encourages young generations to believe in a world without hatred or war regardless of nationalities and beliefs.

(Source: Anime Network)"
animeRelated	['Allison', 'Lillia to Treize']
animeCharacters	['Whittington, Allison', 'Schultz, Wilhelm', 'Whittington-Schultz, Lillianne Aicasia Corazón', 'Bain, Treize', 'Benedict, Carr', 'Fiona', 'Strauski, Megmica', 'Whittington, Oscar', 'Carlo', 'Ian, Thomas']
animeVoices	['Kuwashima, Houko', 'Morikawa, Toshiyuki', 'Mizuki, Nana', 'Yoshino, Hiroyuki', 'Yamadera, Kouichi', 'Noto, Mamiko', 'Takagaki, Ayahi', 'Tanaka, Hideyuki', 'Fukuen, Misato', 'Sasaki, Seiji']
animeStaff	[['Nishita, Masayoshi', 'Director, Storyboard'], ['Mima, Masafumi', 'Sound Director'], ['Ishiodori, Hiroshi', 'Episode Director'], ['Yoshimura, Fumihiro', 'Episode Director']]
