animeTitle	First Love
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	2666
animeRank	
animePopularity	5830
animeDescription	"Based on the manga by Osuzu Akiomi.

Episode 1:
The story is about a brother Ani and his younger sister Kasumi who begin developing feelings towards one another.

Episode 2:
It's a love story of Sahara Satoshi and Aoba Chinatsudo walking to the same school.

Episode 3:
Is the story of Makoto and Kouichi.

(Source: AniDB)"
animeRelated	['First Love']
animeCharacters	['Kasumi']
animeVoices	['Hitomi']
animeStaff	[['Osuzu, Akiomi', 'Original Creator']]
