animeTitle	Uchuu Shounen Soran
animeType	TV
animeNumEpisode	96
releaseDate	1965-05-04 00:00:00
endDate	1967-03-28 00:00:00
animeNumMembers	470
animeScore	
animeUsers	
animeRank	14015
animePopularity	13132
animeDescription	"A classic sci-fi TV anime. The adventures of super-boy. In the 21st century, a human boy is raised on the Planet Soran, home of one of the most advanced civilization in the Galactic Federaion. The planet has the gravity 15 times stronger than Earth. People of Soran changed the boy into a cyborg so that he can live on the planet. Years later the boy returns to Earth. He calls himself Soran. On Earth, his phsical ability is 15 times superior to normal humans. He uses the power for justice. 

(Source: AniDB) "
animeRelated	['Kyoro-chan']
animeCharacters	['Chappie', 'Yoku, Gawa']
animeVoices	[]
animeStaff	[['Toyota, Aritsune', 'Script'], ['Izumi, Taku', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement, Music']]
