animeTitle	b'Hakuouki OVA (2021)'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'New Hakuoki OVA.\n\nThe episodes were streamed in advance on U-NEXT ahead of the official BD/DVD release.'
animeRelated	[b'Hakuouki']
animeCharacters	[b'Saitou, Hajime', b'Okita, Souji', b'Hijikata, Toshizou', b'Harada, Sanosuke', b'Toudou, Heisuke', b'Yukimura, Chizuru', b'Kazama, Chikage', b'Sakai, Hyougo']
animeVoices	[b'\nToriumi, Kousuke\nJapanese\n', b'\nMorikubo, Shoutarou\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nYusa, Kouji\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nAoi, Shouta\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamasaki, Osamu\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nOtani, Kow\n\nMusic\n\n', b'\nKazuki, Yone\n\nOriginal Character Design\n\n']
