animeTitle	b'Hello Kitty no Kieta Santa-san no Boushi'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The Santa decoration at the church has had its hat blown away. Kitty and Mimmy go out to find it in time for Christmas.'
animeRelated	[]
animeCharacters	[b'White, Kitty', b'White, Mimmy']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n', b'\nTominaga, Miina\nJapanese\n']
animeStaff	[]
