animeTitle	b'Yuru Yuri Nachuyachumi!'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.87
animeUsers	34117
animeRank	
animePopularity	
animeDescription	"b""Even during summer break, the Amusement Club lives up to its name! When Akari Akaza, Kyouko Toshinou, Chinatsu Yoshikawa, and Yui Funami find a camping tent, they decide to put it to good use by spending the weekend outside in the mountains. When some student council members catch wind of this, they are invited to come along as well.\n\nAfter a very long journey, the group arrives at their destination and is ready to make the most of their trip. They engage in classic camping activities, such as outdoor cooking and tests of courage, and finish it all off with a visit to the hot springs. An extravagant trip like this doesn't happen every day, but the Amusement Club is sure to savor each moment.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Yuru Yuri', b'Yuru Yuri\xe2\x99\xaa\xe2\x99\xaa', b'Yuru Yuri Nachuyachumi!+']
animeCharacters	[b'Toshinou, Kyouko', b'Akaza, Akari', b'Funami, Yui', b'Yoshikawa, Chinatsu', b'Sugiura, Ayano', b'Oomuro, Sakurako', b'Ikeda, Chitose', b'Furutani, Himawari', b'Matsumoto, Rise', b'Akaza, Akane']
animeVoices	[b'\nOotsubo, Yuka\nJapanese\n', b'\nMikami, Shiori\nJapanese\n', b'\nTsuda, Minami\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nFujita, Saki\nJapanese\n', b'\nKatou, Emiri\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nGotou, Saori\nJapanese\n', b'\nHorie, Yui\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHata, Hiroyuki\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nHiramaki, Daisuke\n\nEpisode Director, Storyboard\n\n', b'\nYokote, Michiko\n\nScript\n\n']
