animeTitle	Changbaekhan Eolkuldeul
animeType	Movie
animeNumEpisode	1
releaseDate	2015-09-10 00:00:00
endDate	
animeNumMembers	47
animeScore	
animeUsers	
animeRank	15137
animePopularity	18353
animeDescription	"In an unknown time when everything is colorless, the world pale and desolate, everybody is born with pale white skin. There is absolutely no sign of color in this world at all. However, one boy is born with yellowish skin. Everybody treats him like some sort of monster, and the boy lives in isolation, in the woods with his mother. The year he turns 16, the boy’s depressed mother, unable to bear the seclusion, commits suicide. The boy blames himself for her death and dreams of becoming a normal pale-skinned person.

(Source: koreanfilm.or.kr)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
