animeTitle	b'Domo-kun'
animeType	b'TV'
animeNumEpisode	37
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	505
animeRank	
animePopularity	
animeDescription	"b""A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life.\n\nAs of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009."""
animeRelated	[b'Domo TV']
animeCharacters	[b'Domo-kun', b'Usajii']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nGouda, Tsuneo\n\nDirector, Animation Director, Creator, Character Design\n\n']
