animeTitle	Bonobono (TV)
animeType	TV
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	310
animeRank	
animePopularity	10513
animeDescription	A sea otter and his friends, a raccoon and squirrel, live and play together in the forest.
animeRelated	['Bonobono', 'Bonobono: Kumomo no Ki no Koto', 'Bonobono (TV 2016)', 'Bonobono (TV) Specials']
animeCharacters	['Bonobono', 'Shimarisu', 'Araiguma', 'Sunadorineko', 'Araiguma-kun no Otousan', 'Shimacchau Ojisan']
animeVoices	['Watanabe, Kumiko', 'Yoshida, Konami', 'Fujiwara, Keiji', 'Kosugi, Juurouta', 'Umezu, Hideyuki', 'Tobita, Nobuo']
animeStaff	[['Nanba, Hitoshi', 'Director'], ['Yonetani, Yoshitomo', 'Episode Director, Storyboard'], ['Ohata, Kiyotaka', 'Episode Director, Storyboard'], ['Okajima, Kunitoshi', 'Episode Director, Storyboard']]
