animeTitle	Shining Tears X Wind
animeType	TV
animeNumEpisode	13
releaseDate	2007-04-07 00:00:00
endDate	2007-06-30 00:00:00
animeNumMembers	
animeScore	6.5
animeUsers	11174
animeRank	
animePopularity	3179
animeDescription	"Mysterious disappearances are occurring one after the other in Tatsumi Town. Kiriya has a vision from a mysterious beautiful girl with pointy ears. A book talking for an alternative world is found. And Mao searching for her long lost friend, Zero, comes to our world. But what she didn’t expect is to find Souma and Kureha, and even less, to accidentally take them to her world. Now, Souma and Kureha have to find a way to come back. But other forces are playing their part in the darkness and Souma with Kureha will find that going back is harder than they first anticipated.

(Source: ANN) "
animeRelated	['Shining Hearts: Shiawase no Pan']
animeCharacters	['Zero', 'Mao', 'Kureha, Touka', 'Kiriya, Kaito', 'Akizuki, Souma', 'Seena, Kanon', 'Ein, Xecty', 'Blanc Neige', 'Elwyn', 'Rouen']
animeVoices	['Hoshi, Souichirou', 'Saitou, Chiwa', 'Horie, Yui', 'Ishida, Akira', 'Mizuki, Nana', 'Kuwashima, Houko', 'Kawasumi, Ayako', 'Hirohashi, Ryou', 'Matsuoka, Daisuke']
animeStaff	[['Watanabe, Hiroshi', 'Director'], ['Misawa, Ayako', 'Sound Director'], ['Wada, Takuya', 'Episode Director, Animation Director'], ['Namura, Hidetoshi', 'Storyboard']]
