animeTitle	Watashi no Nyanko
animeType	Music
animeNumEpisode	1
releaseDate	1983-04-01 00:00:00
endDate	
animeNumMembers	96
animeScore	
animeUsers	
animeRank	14167
animePopularity	17824
animeDescription	Music video for the song Watashi no Nyanko by Akiko Yano and the Hibari Children's Choir (Hibari Jidou Gasshoudan) that was featured on NHK's Minna no Uta program. The video features artwork from Ayumi Oohashi.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
