animeTitle	Kamen Senshi Lavithunder CM
animeType	Special
animeNumEpisode	1
releaseDate	1986-12-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17913
animeDescription	"Kamen Senshi Lavithunder is an intended anime that was never released. However, this EP with what would be the theme songs of the anime, both performed by Mitsuko Horie, was able to get a release.
https://vgmdb.net/album/54883

Cancelled planned anime created by PANMEDIA, likely OVA, from December of 1986 whose CM was broadcast on TV Tokyo alongside Oh! Family which ran from October 6th 1986 to March 30th 1987 on Mondays at 19:30 JST, as documented by OUT magazine January 1987.

Yoshiji Kigami is credited as character designer and animation director."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
