animeTitle	Yuugen Kaisha
animeType	OVA
animeNumEpisode	4
releaseDate	1994-08-25 00:00:00
endDate	1995-02-25 00:00:00
animeNumMembers	
animeScore	6.47
animeUsers	1689
animeRank	
animePopularity	7041
animeDescription	"In a country where companies are categorized into many subdivisions and corporations, only one of them is a ghost corp—the Phantom quest corp. When otherworldly supernatural phenomenon threatens the city and its populace, Ayaka Kisaragi and her employees are on the job to fight any and all supernatural menace.

(Source: ANN)"
animeRelated	['Yuugen Kaisha: Jiken File 00 - Hajimari wa Ayashiku mo Hanayaka ni']
animeCharacters	['Kisaragi, Ayaka', 'Karina, Kozu', 'Rokugo, Nanami', 'Asakaga, Ruriko', 'Suimei', 'Shimesu, Mamoru']
animeVoices	['Matsumoto, Rica', 'Yamadera, Kouichi', 'Mitsuishi, Kotono', 'Kawanami, Yoko', 'Watanabe, Naoko', 'Ikura, Kazue']
animeStaff	[['Inoue, Hiroaki', 'Producer'], ['Ueda, Yasuyuki', 'Assistant Producer, Production Assistant'], ['Asaka, Morio', 'Director, Storyboard'], ['Chigira, Kouichi', 'Director, Storyboard']]
