animeTitle	Chimuchimucheri ChimChimCheree
animeType	Music
animeNumEpisode	1
releaseDate	1966-04-05 00:00:00
endDate	
animeNumMembers	663
animeScore	4.77
animeUsers	379
animeRank	11686
animePopularity	12202
animeDescription	"The life of a chimney sweep in a song. This is the Japanese version of the 1964 Academy Award song Chim Chim Cher-ee that was originally sung by Dick Van Dyke and Julie Andrews in the movie 'Mary Poppins"". Given the anime treatment by graphic artist and animator Tadanori Yokoo and shown in the Minna no Uta segment of NHK programming.
"
animeRelated	[]
animeCharacters	['Chimney Sweep']
animeVoices	[]
animeStaff	[]
