animeTitle	Chii-chan no Kageokuri
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	144
animeScore	
animeUsers	
animeRank	15194
animePopularity	17047
animeDescription	A war film about Chii-chan who played a shadow game with her family where you stare at your shadow for 10 seconds and move away quickly causes an afterimage to stay. During an air raid Chii-chan gets separated from her family. She plays the shadow game and finds her family joining in...
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
