animeTitle	b'Fate/kaleid liner Prisma\xe2\x98\x86Illya 2wei Herz!'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	61512
animeRank	
animePopularity	
animeDescription	b'Based on the Fate/Kaleid Liner Prisma\xe2\x98\x86Illya 2wei! manga by Hiroshi Hiroyama, which is a spin-off of the Fate/stay night erotic visual novel by Type-Moon.'
animeRelated	[b'Fate/kaleid liner Prisma\xe2\x98\x86Illya 2wei!', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya 2wei Herz! Specials', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya 3rei!!']
animeCharacters	[b'Toosaka, Rin', b'von Einzbern, Illyasviel', b'von Einzbern, Chloe', b'Edelfelt, Miyu', b'Edelfelt, Luviagelita', b'Gilgamesh', b'Emiya, Shirou', b'von Einzbern, Irisviel', b'Hortensia, Caren', b'Fujimura, Taiga']
animeVoices	[b'\nUeda, Kana\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nItou, Miki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOonuma, Shin\n\nDirector\n\n', b'\nJinbo, Masato\n\nDirector\n\n', b'\nTsuchiya, Masaki\n\nSound Director\n\n', b'\nInoue, Keisuke\n\nEpisode Director\n\n']
