animeTitle	Wankorobee
animeType	TV
animeNumEpisode	26
releaseDate	1996-10-06 00:00:00
endDate	1997-03-30 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15170
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Wankorobee', 'Rival-chan', 'Yagi-sensei', 'Yokozuna-chan', 'Hario-kun', 'Shime-chan']
animeVoices	['Nagasawa, Nao', 'Kozakura, Etsuko', 'Suzuki, Katsumi', 'Mizuta, Wasabi', 'Hoshikawa, Mai', 'Kikuchi, Shouko']
animeStaff	[['Mochizuki, Tomomi', 'Director'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Sakurai, Masaaki', 'Script'], ['Kawai, Yuuko', 'Theme Song Performance']]
