animeTitle	Honobono Log
animeType	TV
animeNumEpisode	10
releaseDate	2016-06-07 00:00:00
endDate	2016-06-18 00:00:00
animeNumMembers	64149
animeScore	7.36
animeUsers	27878
animeRank	2120
animePopularity	2186
animeDescription	"Some of us are fortunate enough to have a partner to confide in on our bad days. In even the most devastating times, we can depend on our comrades for support. Others are incredibly lucky to have a special someone that they can just randomly embrace. No matter the situation, there always tends to be a close ally to help us get by.

Honobono Log showcases the best and worst of couples and families, enticing romantic-comedy lovers with various relatable situations.

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Eita', 'Chiharu']
animeVoices	['Irino, Miyu', 'Seto, Asami']
animeStaff	[['Matsui, Kumi', 'Director'], ['Rareko', 'Episode Director, Storyboard'], ['Ame no Parade', 'Theme Song Performance'], ['Fukamachi, Naka', 'Original Creator']]
