animeTitle	b'Mamono Hunter Youko'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	3807
animeRank	
animePopularity	
animeDescription	b'Yohko Mono is a regular girl making her way through high school--until she learns that she is the 108th successor to a line of warriors charged with defending the earth against demons. Eventually she must fight her ultimate battle against the demon who started it all. \n\n(Source: ANN)'
animeRelated	[b'Mamono Hunter Youko']
animeCharacters	[b'Mano, Youko', b'Kanzaki, Azusa', b'Mano, Haruka', b'Mano, Madoka', b'Tateno', b'Mano, Sayoko', b'Asakura, Ryuuichi', b'Dragon King Ryuuou', b'Tokima', b'Azusa 2']
animeVoices	[b'\nHisakawa, Aya\nJapanese\n', b'\nYoshida, Konami\nJapanese\n', b'\nHidaka, Noriko\nJapanese\n', b'\nKoorogi, Satomi\nJapanese\n', b'\nMiyazaki, Issei\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n', b'\nFutamata, Issei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinbou, Akiyuki\n\nDirector\n\n', b'\nAbe, Hisashi\n\nDirector, Storyboard, Key Animation, Character Design, Animation Director\n\n', b'\nYamada, Katsuhisa\n\nDirector\n\n', b'\nMatsuura, Noriyoshi\n\nSound Director\n\n']
