animeTitle	Madoromi no Vevara
animeType	ONA
animeNumEpisode	1
releaseDate	2019-07-02 00:00:00
endDate	
animeNumMembers	1737
animeScore	6.52
animeUsers	440
animeRank	6028
animePopularity	9825
animeDescription	"Sana suddenly awakes and is transported to a dream world by someone or something? What she experiences will change her life in the real world forever

(Source: Official Website)"
animeRelated	[]
animeCharacters	['Sana', 'Vevara']
animeVoices	['Enoki, Junya']
animeStaff	[['syo5', 'Director']]
