animeTitle	Nanatsu no Bitoku
animeType	TV
animeNumEpisode	10
releaseDate	2018-01-27 00:00:00
endDate	2018-03-31 00:00:00
animeNumMembers	
animeScore	5.22
animeUsers	13467
animeRank	
animePopularity	2613
animeDescription	"Set in the same timeline as Sin: Nanatsu no Taizai, Nanatsu no Bitoku follows a group of angels sent from Heaven to look for a potential ""Savior"" to counter-attack the demonic influence being spread by Lucifer and the other emissaries of Hell.

(Source: Tokyo Zerostar)"
animeRelated	['Sin: Nanatsu no Taizai', 'Nanatsu no Bitoku Specials']
animeCharacters	['Sariel', 'Raphael', 'Metatron', 'Michael', 'Uriel', 'Gabriel', 'Sandalphon']
animeVoices	['Nakamura, Sakura', 'Lynn', 'Ozawa, Ari', 'Uchiyama, Yumi', 'Seto, Asami', 'Nitta, Hiyori', 'Izawa, Shiori']
animeStaff	[['Ishihira, Shinji', 'Director'], ['Morishita, Hiroto', 'Sound Director'], ['Yousei Teikoku', 'Theme Song Performance'], ['Swasey, John', 'ADR Director']]
