animeTitle	Taishou Otome Otogibanashi
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.66
animeUsers	6236
animeRank	
animePopularity	2585
animeDescription	"Tamahiko Shima is the youngest son of the powerful and wealthy Shima family. Blessed with great fortune since his childhood, he grew up wanting nothing but affection from his oftentimes distant family.

After losing his mother and crippling his dominant arm in an accident, Tamahiko fell into deep despair and is cast aside by his own father for his handicap. Condemned to live isolated in the countryside where he would not bring shame to his family's name, he resigned himself to dying alone—until one day, a young girl named Yuzuki Tachibana appeared on his doorstep, proclaiming that Tamahiko's father sent her to be his bride.

As she takes care of Tamahiko, Yuzuki brings a feeling of springtime into Tamahiko's dreary life, allowing him to gradually heal from the deep emotional scars of his youth. Their lives slowly intertwine as both Tamahiko and Yuzuki taste the fruits of their first love.

[Written by MAL Rewrite]"
animeRelated	['Taishou Otome Otogibanashi']
animeCharacters	['Tachibana, Yuzuki', 'Shima, Tamahiko', 'Shima, Tamako', 'Atsumi, Ryou', 'Shiratori, Hikaru', 'Shiratori, Kotori']
animeVoices	['Aizawa, Saya', 'Kobayashi, Yuusuke', 'Miyamoto, Yume', 'Anzai, Chika', 'Toki, Shunichi', 'Itou, Ayasa']
animeStaff	[['Hatori, Jun', 'Director'], ['Gou, Fumiyuki', 'Sound Director'], ['Fukuda, Hiroko', 'Script'], ['GARNiDELiA', 'Theme Song Performance']]
