animeTitle	Yokujou Bazooka The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	2013-10-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	2303
animeRank	
animePopularity	6631
animeDescription	Based on the adult manga by Taropun
animeRelated	['Yokujou Bazooka']
animeCharacters	['Ayano', 'Yamashita, Konatsu']
animeVoices	[]
animeStaff	[['Hayakawa, Naomi', 'Director, Storyboard, Character Design'], ['Sawayama, Shinichiro', 'Script'], ['Taropun', 'Original Creator']]
