animeTitle	Mahou no Tenshi Creamy Mami: Long Goodbye
animeType	OVA
animeNumEpisode	1
releaseDate	1985-06-15 00:00:00
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	284
animeRank	
animePopularity	10870
animeDescription	"Shingo is planning the film ""A Story of Two Worlds"" starring Megumi. Yuu's transformation into Creamy Mami is happening without her wanting it. She is asked to star in the film too. But the magic doesn't last..."
animeRelated	['Mahou no Tenshi Creamy Mami', 'Mahou no Tenshi Creamy Mami: Eien no Once More', 'Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami', 'Mahou no Tenshi Creamy Mami: Zutto Kitto Motto']
animeCharacters	['Morisawa, Yuu', 'Nega', 'Posi', 'Ayase, Megumi', 'Kidokoro, Hayato', 'Hayakawa, Ai']
animeVoices	['Oota, Takako', 'Shimazu, Saeko']
animeStaff	[['Mochizuki, Tomomi', 'Director, Storyboard'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Oota, Takako', 'Theme Song Performance, Inserted Song Performance'], ['Ito, Kazunori', 'Original Creator, Series Composition']]
