animeTitle	Toaru Majutsu no Index-tan
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	24239
animeRank	
animePopularity	2503
animeDescription	A series of shorts featuring Index-tan. 
animeRelated	['Toaru Majutsu no Index', 'Toaru Majutsu no Index-tan II']
animeCharacters	['Misaka, Mikoto', 'Kamijou, Touma', 'Index Librorum Prohibitorum', 'Accelerator', 'MISAKA 10032', 'Kanzaki, Kaori', 'Tsuchimikado, Motoharu', 'Magnus, Stiyl', 'Tsukuyomi, Komoe', 'Himegami, Aisa']
animeVoices	['Satou, Rina', 'Abe, Atsushi', 'Iguchi, Yuka', 'Okamoto, Nobuhiko', 'Itou, Shizuka', 'Katsu, Anri', 'Taniyama, Kishou', 'Koyama, Kimiko', 'Noto, Mamiko']
animeStaff	[['Kamachi, Kazuma', 'Original Creator'], ['Haimura, Kiyotaka', 'Original Character Design'], ['Iuchi, Maiko', 'Music'], ['Tanaka, Yuuichi', 'Character Design']]
