animeTitle	Iyashite Agerun Saiyuuki
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	2436
animeRank	
animePopularity	6585
animeDescription	"A hentai version of the famous Journey to the West where Goku & co. are big breasted babes.

(Source: AniDB)"
animeRelated	['Iyashite Agerun♪']
animeCharacters	['Arisugawa, Mayuko', 'Hano, Usagi', 'Lin', 'Moriyama, Izumi', 'Shaotao', 'Lily']
animeVoices	['Ishimatsu, Chiemi', 'Hyo-sei', 'Ono, Ryouko', 'Uchino, Pochi', 'Okajima, Tae']
animeStaff	[['Uchida, Yorihisa', 'Producer, Director, Planning'], ['Suzuki, Tatsuya', 'Producer, Storyboard, Character Design, Animation Director'], ['Suzuki, Takuya', 'Key Animation, Original Character Design'], ['Kitakata, Masami', 'Sound Effects']]
