animeTitle	Minami-ke Okawari
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	37178
animeRank	
animePopularity	2090
animeDescription	The second season of Minami-Ke. It picks up where the first season left off, and just like the first season, it's about the daily lives of the three Minami sisters, Haruka, Kana and Chiaki, and their school friends.
animeRelated	['Minami-ke', 'Minami-ke Okaeri']
animeCharacters	['Minami, Kana', 'Minami, Chiaki', 'Minami, Haruka', 'Hosaka', 'Makoto', 'Minami, Touma', 'Uchida, Yuka', 'Fujioka', 'Atsuko', 'Maki']
animeVoices	['Inoue, Marina', 'Chihara, Minori', 'Satou, Rina', 'Ono, Daisuke', 'Morinaga, Rika', 'Mizuki, Nana', 'Kitamura, Eri', 'Kakihara, Tetsuya', 'Ono, Ryouko', 'Takagi, Reiko']
animeStaff	[['Hosoda, Naoto', 'Director, Episode Director, Storyboard'], ['Ebina, Yasunori', 'Sound Director'], ['Nagahama, Norihiko', 'Episode Director'], ['Kobayashi, Kousuke', 'Episode Director']]
