animeTitle	b'Kiki to Lala no Hansel to Gretel'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A continuation of Kiki and Lala's adventures. Loosely based on the fairy tale Hansel and Gretel by Grimm Brothers."""
animeRelated	[b'Kiki to Lala no Aoi Tori', b'Kiki to Lala no Hansel to Gretel', b'Kiki to Lala no Ohimesama ni Naritai', b'Kiki to Lala no Hakuchouza no Ohimesama', b'Kiki to Lala no Papa to Mama ni Aitai', b'Kiki to Lala no Hoshi no Dance Shoes']
animeCharacters	[b'Lala', b'Kiki']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHata, Masami\n\nDirector\n\n', b'\nArisawa, Takanori\n\nMusic\n\n', b'\nTsuji, Shintarou\n\nExecutive Producer\n\n', b'\nWatanabe, Mami\n\nScreenplay\n\n']
