animeTitle	b'Yama Hime no Mi'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	1603
animeRank	
animePopularity	
animeDescription	b'Based on the manga by Sanbun Kyouden. Two separate stories about sons witnessing their mothers gradually being taken over by lust and pleasure.'
animeRelated	[b'Yama Hime no Mi', b'Yama Hime no Mi: Masae']
animeCharacters	[b'Sawako', b'Masae']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSanbun, Kyouden\n\nOriginal Creator\n\n', b'\nAwai, Shigeki\n\nAssistant Animation Director\n\n']
