animeTitle	b'Yakyuukyou no Uta'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	156
animeRank	
animePopularity	
animeDescription	b'Against her insistence, Yuuki is drafted by the Tokyo Mets as the first woman player in the baseball league.'
animeRelated	[b'Yakyuukyou no Uta', b'Yakyuukyou no Uta: Kita no Ookami Minami no Tora']
animeCharacters	[b'Mizuhara, Yuuki', b'Iwata, Tetsugorou']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYukimuro, Shunichi\n\nScript\n\n', b'\nKondou, Eisuke\n\nStoryboard, Character Design, Animation Director\n\n', b'\nMitsunobu, Hiroyoshi\n\nStoryboard\n\n', b'\nMizuki, Ichirou\n\nTheme Song Performance\n\n']
