animeTitle	Murder Princess
animeType	OVA
animeNumEpisode	6
releaseDate	2007-03-28 00:00:00
endDate	2007-08-29 00:00:00
animeNumMembers	53386
animeScore	7.0
animeUsers	26816
animeRank	3807
animePopularity	2417
animeDescription	"In the kingdom of Forland, a coup d'etat occurs which leads to the death of the King. In the last moments of his life, the King sends his second child, Princess Alita Forland to escape. Unfortunately, while fleeing, a life and death situation between Alita and the bloodthirsty bounty hunter Falis causes the two of them to switch bodies. Desperate for the safety of her Kingdom, Alita begs Falis to return and protect the Kingdom, offering herself as collateral. After a swift beating on the rebel forces, Falis resumes the title of Princess of Forland, leading to the birth of the most savage princess in their land, the ""Murder Princess."""
animeRelated	['Murder Princess']
animeCharacters	['Falis', 'Forland, Alita Castilia Arago', 'Dominikov', 'Yuna', 'Kaito', 'Armstrong, Pete', 'Ana', 'Entolasia, Jodo', 'Cecilia', 'Dr. Akamashi']
animeVoices	['Park, Romi', 'Koshimizu, Ami', 'Yao, Kazuki', 'Saitou, Chiwa', 'Namikawa, Daisuke', 'Takase, Akimitsu', 'Ishimori, Takkou', 'Toyoguchi, Megumi', 'Tsuchida, Hiroshi']
animeStaff	[['Cook, Justin', 'Producer'], ['Kurokawa, Tomoyuki', 'Director, Episode Director, Storyboard'], ['Takakuwa, Hajime', 'Sound Director'], ['Abe, Shuuhei', 'Sound Director']]
