animeTitle	Persona 5 the Animation TV Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.91
animeUsers	14237
animeRank	
animePopularity	3437
animeDescription	"In the wake of Ren Amamiya's apparent suicide, the other members of the Phantom Thieves are heartbroken and without purpose. As Sae Niijima rushes over to Cafe Leblanc, she brings the team a shocking revelation that spurs them to pull off one more spectacular heist. The hardened warriors of the metaverse make one last attempt to prove to the world that they fight for justice, and to bring down their teammate turned traitor, Gorou Akechi. Watch them closely, or they might just steal your heart.

[Written by MAL Rewrite]
"
animeRelated	['Persona 5 the Animation', 'Persona 5 the Animation Specials']
animeCharacters	['Amamiya, Ren', 'Sakura, Futaba', 'Niijima, Makoto', 'Sakamoto, Ryuuji', 'Kitagawa, Yuusuke', 'Takamaki, Ann', 'Okumura, Haru', 'Morgana', 'Niijima, Sae', 'Akechi, Gorou']
animeVoices	[]
animeStaff	[['Oohashi, Kazuki', 'Episode Director, Storyboard'], ['Inaizumi, Lyn', 'Theme Song Performance'], ['Kamogawa, Takahiro', 'Key Animation'], ['Sano, Takayuki', 'Key Animation, Animation Director']]
