animeTitle	Oshiete Re: Maid
animeType	OVA
animeNumEpisode	2
releaseDate	2007-10-25 00:00:00
endDate	2008-02-25 00:00:00
animeNumMembers	
animeScore	6.6
animeUsers	1903
animeRank	
animePopularity	6648
animeDescription	"It is a long road to becoming a maid as there is an academy dedicated to it. It is part of the curriculum to train somewhere and have a close relationship with their master. It is there that the girls fulfill their dreams to become fully elegant maids.

Akito accepts a contract where four below-average maids in training will come to live with him. These ""leftover and unwanted"" maids will be able to graduate all together as long as their master awards them approval.

And so Akito and the maids' first rough year together begins..."
animeRelated	[]
animeCharacters	['Ayabe, Akari', 'Layard, Philine', 'Nakadachuri, Shiraha', 'Fendy, Laila']
animeVoices	['Nakata, Junko', 'Nakase, Hina', 'Nakagawa, Rie', 'Fujimori, Yukina']
animeStaff	[['Hattori, Noritomo', 'Animation Director'], ['Unison Shift', 'Original Creator']]
