animeTitle	Oppai Infinity∞! The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	2014-01-31 00:00:00
endDate	
animeNumMembers	
animeScore	6.42
animeUsers	1536
animeRank	
animePopularity	7363
animeDescription	Based on the same name adult manga by Sawaru Erect.
animeRelated	['Oppai Infinity∞!']
animeCharacters	['Mikisaka, Haruka']
animeVoices	[]
animeStaff	[['Hayakawa, Naomi', 'Director, Storyboard, Character Design'], ['Erect, Sawaru', 'Original Creator'], ['Akatsuki, Shion', 'Animation Director']]
