animeTitle	Tokyo Requiem
animeType	OVA
animeNumEpisode	2
releaseDate	2005-04-25 00:00:00
endDate	2006-03-25 00:00:00
animeNumMembers	
animeScore	5.72
animeUsers	780
animeRank	
animePopularity	8772
animeDescription	"An underground society lies beneath the surface of Tokyo. This society has kept silent for many years, but now, they are on the move. They are kidnapping four mikos and use their powers to wake up a long forgotten god...

(Source: ANN)"
animeRelated	[]
animeCharacters	['Kamishiro, Homura', 'Amano, Kirara', 'Tsukuyomi, Shizuru']
animeVoices	[]
animeStaff	[['Kano, Akira', 'Character Design']]
