animeTitle	Kindaichi Shounen no Jikenbo Movie 2: Satsuriku no Deep Blue
animeType	Movie
animeNumEpisode	1
releaseDate	1999-08-21 00:00:00
endDate	
animeNumMembers	1764
animeScore	6.92
animeUsers	513
animeRank	4097
animePopularity	9782
animeDescription	"The movie is an alternative version to the ""Satsuriku no Deep Blue"" arc of the 1997 Kindaichi TV series.

Kindaichi, Miyuki and Fumi are invited to the resort of the Deep Blue Island by their senpai Akane, the daughter of the president of the Aizawa Group. A group of criminals infiltrate the hotel diguised as waiters to kill the members of the Aizawa Group. The criminals don't know their boss in person, and they don't know either that he's in the hotel with the members of the Aizawa Group."
animeRelated	['Kindaichi Shounen no Jikenbo']
animeCharacters	['Kindaichi, Hajime', 'Nanase, Miyuki', 'Kenmochi, Isamu', 'Akechi, Kengo', 'Kindaichi, Fumi', 'Aizawa, Yurie', 'Akamori, Kisuke', 'Suou, Takeshi', 'Naguni, Mikoto', 'Saitou']
animeVoices	['Matsuno, Taiki', 'Nakagawa, Akiko', 'Kosugi, Juurouta', 'Morikawa, Toshiyuki', 'Ikezawa, Haruna', 'Tanaka, Atsuko', 'Tanonaka, Isamu', 'Aoba, Gou', 'Nishimura, Chinami', 'Genda, Tesshou']
animeStaff	[['THE ALFEE', 'Theme Song Performance, Theme Song Arrangement'], ['Kibayashi, Shin', 'Original Creator'], ['Satou, Fumiya', 'Original Character Design'], ['Hamasu, Hideki', 'Key Animation']]
