animeTitle	b'Shakotan\xe2\x98\x85Boogie'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	315
animeRank	
animePopularity	
animeDescription	"b""It's girls, gangs, and cars in this adaptation of the 1985 manga in Young Magazine, by Lullaby for Wednesday's Cinderella-creator Michiharu Kusunoki. Local punks steal cars, switch the plates, and sell them, but not without racing them for a while against rival gangs. The anime continues the story where the 1987 live-action movie starring Kazuya Kimura left off.\n\n(Source: The Anime Encyclopedia)"""
animeRelated	[b'Shakotan\xe2\x98\x85Boogie']
animeCharacters	[b'Yamamoto, Hajime', b'Watanabe, Koji', b'Okazaki-kun', b'Sakamoto, Kaori', b'Okada, Michiaki', b'Saseko', b'Honda, Mariko', b'Saitou, Yumi', b'Shimizu, Akira', b'Nomura, Junichi']
animeVoices	[b'\nShimada, Bin\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nKatsuki, Masako\nJapanese\n', b'\nWatanabe, Naoko\nJapanese\n', b'\nNishihara, Kumiko\nJapanese\n', b'\nOotani, Ikue\nJapanese\n', b'\nYamaguchi, Ken\nJapanese\n', b'\nSugawara, Masashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTokairin, Shinichi\n\nDirector, Storyboard, Animation Director, Character Design\n\n', b'\nIshidou, Hiroyuki\n\nEpisode Director\n\n', b'\nKameda, Seiji\n\nTheme Song Arrangement\n\n', b'\nAsakura, Noriyuki\n\nMusic\n\n']
