animeTitle	Readyyy!
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.56
animeUsers	169
animeRank	
animePopularity	13484
animeDescription	"The opening animation to Readyyy!, Sega's male idol training smartphone game. The game is set in Kamakura, and the story's protagonist is a newly-minted producer of the Dia Production talent agency. But the protagonist is also the manager of the dormitory where 18 idols are all living together.

Pre-registration opened the day after the video was posted to the official YouTube channel but there has been no release date listed as to when the app will launch.

(Source: ANN)"
animeRelated	['Go Now!', 'Daitan Futeki ni Koi Shitai', 'Special Nu World', 'Beat in Love (2018)', 'Kimi ga Mita Sora wa']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
