animeTitle	DNA² OVA
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	6337
animeRank	
animePopularity	4982
animeDescription	Junta's great granddaughter goes back in time in order to make Junta stay as the Mega-Playboy so she can continue to exist. Along with her comes an old man with the intention of making Junta stay as the Mega-Playboy forever for his own purposes.When Junta starts getting attacked, he has no choice but to return to being the Mega-Playboy in order to protect his loved ones.
animeRelated	['DNA²: Dokoka de Nakushita Aitsu no Aitsu', 'DNA²']
animeCharacters	['Aoi, Karin', 'Momonari, Junta', 'Kurimoto, Ami', 'Saeki, Tomoko', 'Momonari, Chiyo']
animeVoices	['Tominaga, Miina', 'Nanba, Keiichi', 'Kasahara, Hiroko', 'Maruyama, Hiroko']
animeStaff	[['Hyde', 'Theme Song Lyrics'], ['Tetsuya', 'Theme Song Composition'], ['Katsura, Masakazu', 'Original Creator'], ['Takahashi, Kumiko', 'Character Design']]
