animeTitle	Xiong Chumo: Guonian
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16871
animeDescription	Released two days before the Chinese New Year, the feature itself covers the topic of the New Year where Logger Vick wants to go back to his hometown to visit family. But a first class ticket on the train home is something he cannot afford. Briar and Bramble decide to help him out.
animeRelated	['Xiong Chumo: Huanqiu Da Maoxian']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
