animeTitle	Idol Fight Suchie-Pai 2
animeType	OVA
animeNumEpisode	1
releaseDate	1996-04-20 00:00:00
endDate	
animeNumMembers	1435
animeScore	4.32
animeUsers	599
animeRank	11902
animePopularity	10266
animeDescription	"Once every century, the legendary mahjong dials called the ""Legendary Pai"" show themselves to the world, and if you collect them all it will grant you any wish. They show up in the form of evil monsters and you must defeat all 10 to obtain this chance. So, a Bunny Alien, A Maid-Dominatrix, A Cyborg, A girl form the world of magic and a transforming super hero all must fight these monsters along with themselves to grant the wish that they want to come true."
animeRelated	[]
animeCharacters	['Misaki, Kyoko', 'Ichimonji, Tsukasa', 'Shinohara, Alice', 'Milk', 'Makieda, Sanae', 'Pinzu Monster', 'Sasaki, Rumi', 'Katagiri, Shiho']
animeVoices	['Kanai, Mika', 'Matsumoto, Rica', 'Yoshida, Konami', 'Nishihara, Kumiko', 'Mizutani, Yuuko', 'Iwao, Junko', 'Tominaga, Miina', 'Yajima, Akiko']
animeStaff	[['Ide, Yasunori', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Sonoda, Kenichi', 'Original Character Design'], ['Kazui, Hiroko', 'Animation Director, Character Design']]
