animeTitle	Bomberman Jetters
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	1110
animeRank	
animePopularity	7837
animeDescription	"Deep Space, many different cultures have come together to live on planet Jet. To keep the peace an organization known as the Jetters is formed. This space police group fight against the villains known as the ""Hige hige dan"" making sure that the universe is safe. The leader of the Jetters Mighty is a powerful Bomberman, who is looked up to and respected....his brother however is a lazy crude slacker named Shirobon. Suddenly Mighty disappears and Shiro finds himself placed in a new situation. Shiro steps up and become a responsible Bomberman, and with the new friends he made of the Jetters it may become possible for him to be the next ""Jetters leader.""

(Source: ANN)"
animeRelated	['Bomberman B-Daman Bakugaiden']
animeCharacters	['Bomber, White', 'Mujoe', 'Shout', 'Mighty', 'Pui', 'Birdy', 'Max', 'Zero', 'Bomber, Thunder', 'MechaDoc']
animeVoices	['Kaneda, Tomoko', 'Ishii, Kouji', 'Mizuno, Risa', 'Takahashi, Hiroki', 'Takeuchi, Junko', 'Iwasaki, Masami', 'Takemoto, Eiji', 'Tatsuta, Naoki']
animeStaff	[['Yamakawa, Norio', 'Producer'], ['Gouda, Hozumi', 'Sound Director'], ['Kamitsubo, Ryouki', 'Episode Director'], ['Yoshida, Reiko', 'Script']]
