animeTitle	b'Pokemon XY: Mega Evolution'
animeType	b'Special'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.41
animeUsers	14966
animeRank	
animePopularity	
animeDescription	"b""Previously an assistant of Miare City's Professor Platane, Alain and his Lizardon set off on a journey to become even stronger, by mastering the powers of mega evolution. Investigating the mysteries of this phenomenon, at the behest of the enigmatic Fleur-de-lis, Alain and Lizardon travel across Kalos and Hoenn in search of capable trainers who can use mega evolution in order to improve, as well as help Fleur-de-lis with his research. Along the way, they meet a young girl named Manon who, with her Harimaron, decide to accompany Alain, to which he reluctantly agrees.\n\nPokemon XY: Mega Evolution follows Alain and Lizardon in their journey to become the strongest users of mega evolution, while also fighting against legendary monsters to protect the ambitions of Fleur-de-lis as well as the safety of those most important to him.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Pokemon XY', b'Pokemon XY&Z']
animeCharacters	[b'Alan', b'Manon', b'Tsuwabuki, Daigo', b'Joy', b'Platane, Doctor', b'Fleur-de-lis', b'Absol', b'Zumi', b'Ayaka', b'Pachira']
animeVoices	[b'\nOno, Kensho\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nAkasaki, Chinatsu\nJapanese\n', b'\nTsuchida, Hiroshi\nJapanese\n', b'\nTezuka, Hideaki\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nSawai, Miyuu\nJapanese\n', b'\nWatanabe, Akeno\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuyama, Kunihiko\n\nDirector, Executive Producer\n\n', b'\nKamiji, Yusuke\n\nTheme Song Performance\n\n', b'\nTajiri, Satoshi\n\nOriginal Creator\n\n', b'\nSugimori, Ken\n\nOriginal Character Design\n\n']
