animeTitle	Kyoto Animation: Hoshi-hen
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	2172
animeRank	
animePopularity	7553
animeDescription	"An incomplete storyboard rests on a desk. Within it, are a boy and girl who suddenly jump to life and escape the confines of the sheet of paper in order to kickstart their story—one defined by their own actions. As they journey across the desk, the world around them begins to transform and signals the start of their vivid new adventure.

[Written by MAL Rewrite]"
animeRelated	['Kyoto Animation: Ajisai-hen', 'Kyoto Animation: Hana-hen', 'Kyoto Animation: Sora-hen', 'Kyoto Animation: Ikitaku Naru Omise-hen', 'Kyoto Animation: Hassou-hen', 'Kyoto Animation: Megane-hen', 'Kyoto Animation: Kasa-hen', 'Kyoto Animation: Suiei-hen', 'Kyoto Animation: Meiji-hen', 'Kyoto Animation: Souzou-hen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
