animeTitle	Porte
animeType	Music
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	823
animeRank	
animePopularity	8618
animeDescription	"Music videos from Keina Suda's 2nd EP titled ""porte"" that were included on DVD with its limited edition release on August 21, 2019. First is the official music video for veil animated by Avogado6 (which was also released on Suda's official YouTube channel), and second is a concept movie for porte."
animeRelated	['Enen no Shouboutai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
