animeTitle	Witchblade
animeType	TV
animeNumEpisode	24
releaseDate	2006-04-06 00:00:00
endDate	2006-09-21 00:00:00
animeNumMembers	103301
animeScore	7.24
animeUsers	40947
animeRank	2712
animePopularity	1578
animeDescription	"Masane Amaha and her daughter Rihoko are on the run from a government child welfare agency that wants to take Rihoko away from her mother. They are caught and Rihoko is taken away. Meanwhile, Masane is attacked by an advanced weapon that can disguise itself as a human being. When faced with the danger, a strange light emits from her wrist and she transforms into a powerful being. She destroys the weapon and consequently becomes involved in a power struggle between powerful organizations, with her at the center of their attention. Because she holds the greatest power of them all, the legendary Witchblade.

(Source: AniDB)"
animeRelated	['Witchblade']
animeCharacters	['Amaha, Masane', 'Amaha, Rihoko', 'Tsuzuki, Shiori', 'Maria', 'Soho, Reina', 'Takayama, Reiji', 'Cho', 'Nora', 'Tozawa, Yuusuke', 'Satomi']
animeVoices	['Noto, Mamiko', 'Kanda, Akemi', 'Itou, Shizuka', 'Mizuki, Nana', 'Sonozaki, Mie', 'Koyama, Rikiya', 'Kashii, Shouto', 'Yumiba, Saori', 'Matsukaze, Masaya', 'Yamakawa, Kotomi']
animeStaff	[['Cook, Justin', 'Producer'], ['Nagai, Masaru', 'Producer'], ['Oohashi, Yoshimitsu', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director']]
