animeTitle	A Day Before Us
animeType	ONA
animeNumEpisode	19
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	3926
animeRank	
animePopularity	4968
animeDescription	"A Day Before Us is an animated Korean drama of a special and sweet love story of the following four main characters; Yeo Reum, Ha Eun, Kim Wook, and Yeon Woo.

(Source: AniDB)"
animeRelated	['Yeon-ae Halujeon']
animeCharacters	['Baek, Ha Eun', 'Kim, Wook', 'Lee, Yeo Reum', 'Ji, Su Yeon', 'Lee, Yeon Woo']
animeVoices	[]
animeStaff	[]
