animeTitle	Futa-bu!
animeType	OVA
animeNumEpisode	2
releaseDate	2014-02-21 00:00:00
endDate	2014-05-02 00:00:00
animeNumMembers	24494
animeScore	7.12
animeUsers	12520
animeRank	
animePopularity	3639
animeDescription	"Dissatisfied with an ordinary high school life, Akane Niimura decides to join the Futa Club. The organization consists solely of futanari—well-developed women with male genitals. The club's members spend their free time pursuing a single activity: indulging in as much sexual pleasure with each other as possible.

However, there is a major problem with Akane—she is a regular girl! Therefore she can only be admitted to the club as a ""service specialist."" Despite ending up with the subservient role of being a sex toy for the other members, Niimura is content with her position and resolves to fully enjoy the club's exciting activities.

[Written by MAL Rewrite]"
animeRelated	['Futabu! Mix', 'Futa-bu!!']
animeCharacters	['Asakura, Mao', 'Oohashi, Sumika', 'Itou, Aya', 'Aihara, Ai', 'Niimura, Akane']
animeVoices	['Sachi, Yun', 'Akimoto, Nerine', 'Ashiya, Kyouko', 'Takanashi, Konoko', 'Obana, Momoko']
animeStaff	[['Yoshiten', 'Director, Character Design'], ['Bosshi', 'Original Creator'], ['Shinkai, Kouki', 'Editing']]
