animeTitle	Chameleon (OVA)
animeType	OVA
animeNumEpisode	6
releaseDate	1992-02-01 00:00:00
endDate	1996-02-01 00:00:00
animeNumMembers	1529
animeScore	6.48
animeUsers	392
animeRank	6218
animePopularity	10137
animeDescription	The series follows the antics of tenth-grade student Eisaku Yazawa who wants to become a bousouzoku, a motorcycle gang member.
animeRelated	['Chameleon']
animeCharacters	['Yazawa, Eisaku', 'Kyuu', 'Aizawa, Junna', 'Miyazono, Ranmaru', 'Asaoka, Hikaru', 'Shiina, Yuu', 'Masaaki, Sakamoto', 'Naoki, Aizawa', 'Hisaori, Yoshioka', 'Shiina, Yuuji']
animeVoices	['Nanba, Keiichi', 'Nakao, Ryusei', 'Hagimori, Junko', 'Kashiwakura, Tsutomu', 'Tominaga, Miina', 'Yamada, Eiko', 'Oota, Shinichirou', 'Ookura, Masaaki', 'Sato, Yuki', 'Shiozawa, Kaneto']
animeStaff	[['Hashimoto, Mitsuo', 'Director, Storyboard'], ['Matano, Hiromichi', 'Director, Storyboard'], ['Ishizaki, Susumu', 'Episode Director, Storyboard'], ['Yotsuji, Takao', 'Theme Song Lyrics']]
