animeTitle	b'Tiger Mask W'
animeType	b'TV'
animeNumEpisode	38
releaseDate	
endDate	
animeNumMembers	
animeScore	6.95
animeUsers	5657
animeRank	
animePopularity	
animeDescription	"b""Two young wrestlers face each other in a recently revived underground wrestling organization, the Tiger's Lair, which destroyed the wrestling dojo they grew up in. One took over the training facilities of Naoto Date at the foot of Mount Fuji, as well as the mask he left behind. The other dared to enter the Tiger's Lair and won a fierce competition, receiving a jet-black tiger mask. One tiger walks the path of light, while the other walks the path of shadows. Neither one knows the other's face. On the ring, they are natural enemies, but they have the same purpose\xe2\x80\x94destroy the Tiger's Lair!\n\n(Source: MAL News)"""
animeRelated	[b'Tiger Mask Nisei']
animeCharacters	[b'Azuma, Naoto', b'Fujii, Takuma', b'Omega, Kenny', b'Okada, Kazuchika', b'Takaoka, Haruna', b'Tanahashi, Hiroshi', b'Miss X', b'Yellow Devil', b'Mr. X', b'Yamashina, Ruriko']
animeVoices	[b'\nYashiro, Taku\nJapanese\n', b'\nUmehara, Yuuichirou\nJapanese\n', b'\nHori, Hideyuki\nJapanese\n', b'\nMorita, Masakazu\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nShimada, Bin\nJapanese\n', b'\nShibata, Hidekatsu\nJapanese\n', b'\nChiba, Chiemi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nBogdan, Gyarmath\n\nProducer\n\n', b'\nKomura, Toshiaki\n\nDirector\n\n', b'\nChioka, Kimitoshi\n\nEpisode Director, Storyboard\n\n', b'\nWatanabe, Koudai\n\nStoryboard, Key Animation, Animation Director\n\n']
